wallet_txn_id,transaction_id,customer_id,merchant_id,wallet_provider,txn_type,amount,wallet_balance_after,timestamp,status
WLT0000001,TXN0000003,CUST01846,MER0063,Mobikwik,LOAD,469.1,10899.61,2025-04-22 01:31:43,Success
WLT0000002,TXN0000004,CUST01068,,Mobikwik,P2P_TRANSFER,694.04,1092.27,2025-03-15 22:20:23,Success
WLT0000003,TXN0000009,CUST00614,MER0020,Mobikwik,LOAD,1839.15,8670.45,2025-03-12 02:57:50,SUCCESS
WLT0000004,TXN0000010,CUST00516,MER0127,Paytm Wallet,SPEND,410.87,9858.51,2025-04-26 07:20:18,pending
WLT0000005,TXN0000021,CUST01506,MER0126,Mobikwik,LOAD,663.26,857.43,2025-04-22 19:47:31,success
WLT0000006,TXN0000026,CUST01213,MER0047,PhonePe Wallet,LOAD,163.68,14180.0,2025-05-13 09:00:40,Success
WLT0000007,TXN0000029,CUST00430,MER0075,Amazon Pay Balance,LOAD,890.61,6450.35,2025-06-11 10:03:14,success
WLT0000008,TXN0000031,CUST01737,MER0105,PhonePe Wallet,SPEND,74.0,11249.44,2025-05-11 16:18:11,SUCCESS
WLT0000009,TXN0000039,CUST00076,MER0093,PhonePe Wallet,SPEND,92.89,3543.06,2025-05-17 05:51:09,success
WLT0000010,TXN0000046,CUST00680,MER0111,Mobikwik,SPEND,528.85,16854.82,2025-01-21 13:44:14,Success
WLT0000011,TXN0000052,CUST00949,MER0129,Mobikwik,SPEND,1139.27,16169.43,2025-01-30 06:31:20,SUCCESS
WLT0000012,TXN0000055,CUST01886,MER0030,PhonePe Wallet,LOAD,334.37,5148.35,2025-06-11 10:13:17,SUCCESS
WLT0000013,TXN0000071,CUST01347,MER0008,Amazon Pay Balance,SPEND,1520.08,4806.68,2025-05-24 04:28:43,SUCCESS
WLT0000014,TXN0000075,CUST00571,MER0017,Amazon Pay Balance,LOAD,348.32,5627.87,2025-04-23 02:38:10,success
WLT0000015,TXN0000076,CUST00209,MER0138,PhonePe Wallet,LOAD,91.87,15805.35,2025-02-06 07:17:45,Success
WLT0000016,TXN0000077,CUST00750,MER0118,PhonePe Wallet,SPEND,1039.31,17711.89,2025-01-23 03:04:07,SUCCESS
