transaction_id,fraud_score,is_fraud,fraud_reason,model_version,flagged_timestamp
TXN0002697,0.126,0,,fraud-model-v2.3,2025-03-29 01:06:32
TXN0001707,0.042,0,,fraud-model-v2.3,2025-01-30 05:23:52
TXN0000644,0.124,0,,fraud-model-v2.3,2025-05-22 20:23:30
TXN0005948,0.151,0,,fraud-model-v2.3,2025-05-22 16:13:50
TXN0011385,0.14,0,,fraud-model-v2.3,2025-01-01 12:02:42
TXN0004198,0.119,0,,fraud-model-v2.3,2025-05-08 08:38:17
TXN0001096,0.179,0,,fraud-model-v2.3,2025-05-05 14:50:33
TXN0000920,0.056,0,,fraud-model-v2.3,2025-02-15 14:36:57
TXN0007955,0.011,0,,fraud-model-v2.3,2025-01-11 05:25:06
TXN0000513,0.066,0,,fraud-model-v2.3,2025-01-28 19:30:37
TXN0011574,0.135,0,,fraud-model-v2.3,2025-02-15 12:42:16
TXN0008198,0.035,0,,fraud-model-v2.3,2025-04-13 01:08:44
TXN0010183,0.129,0,,fraud-model-v2.3,2025-02-01 00:53:30
TXN0006457,0.105,0,,fraud-model-v2.3,2025-05-04 18:37:52
TXN0011004,0.083,0,,fraud-model-v2.3,2025-05-04 19:54:12
TXN0009252,0.133,0,,fraud-model-v2.3,2025-04-01 15:48:14
TXN0002962,0.078,0,,fraud-model-v2.3,2025-05-24 11:57:09
TXN0009180,0.143,0,,fraud-model-v2.3,2025-03-24 04:06:09
TXN0009688,0.098,0,,fraud-model-v2.3,2025-05-12 21:42:42
TXN0004864,0.113,0,,fraud-model-v2.3,2025-06-11 18:32:44
TXN0004965,0.126,0,,fraud-model-v2.3,2025-02-04 10:00:35
TXN0011265,0.103,0,,fraud-model-v2.3,2025-02-19 10:24:51
TXN0006747,0.105,0,,fraud-model-v2.3,2025-03-14 07:30:13
TXN0003942,0.026,0,,fraud-model-v2.3,2025-03-19 10:01:14
TXN0002280,0.277,0,,fraud-model-v2.3,2025-04-05 03:13:47
TXN0006061,0.094,0,,fraud-model-v2.3,2025-03-17 00:13:57
TXN0010471,0.057,0,,fraud-model-v2.3,2025-03-12 13:59:22
TXN0002085,0.009,0,,fraud-model-v2.3,2025-02-17 19:14:05
TXN0003124,0.069,0,,fraud-model-v2.3,2025-01-20 23:10:23
TXN0000727,0.088,0,,fraud-model-v2.3,2025-03-17 08:25:09
TXN0002171,0.013,0,,fraud-model-v2.3,2025-04-18 10:21:33
TXN0002073,0.028,0,,fraud-model-v2.3,2025-01-08 22:10:33
TXN0002778,0.053,0,,fraud-model-v2.3,2025-01-05 23:42:38
TXN0003232,0.114,0,,fraud-model-v2.3,2025-03-07 19:59:39
TXN0007153,0.068,0,,fraud-model-v2.3,2025-06-04 19:56:42
TXN0007853,0.054,0,,fraud-model-v2.3,2025-03-25 21:15:54
TXN0011696,0.033,0,,fraud-model-v2.3,2025-03-20 04:42:13
TXN0011300,0.043,0,,fraud-model-v2.3,2025-03-16 10:00:21
TXN0007917,0.027,0,,fraud-model-v2.3,2025-01-22 18:36:06
TXN0011420,0.114,0,,fraud-model-v2.3,2025-02-03 09:02:32
TXN0001621,0.076,0,,fraud-model-v2.3,2025-05-11 03:08:37
TXN0007588,0.102,0,,fraud-model-v2.3,2025-06-25 10:42:01
TXN0007413,0.036,0,,fraud-model-v2.3,2025-05-08 13:09:08
TXN0011864,0.023,0,,fraud-model-v2.3,2025-03-02 23:48:51
