settlement_id,merchant_id,batch_date,total_transactions,total_amount,settled_amount,settlement_status
SET000001,MER0001,2025-01-05,2,267.68,265.36,VARIANCE
SET000002,MER0001,2025-01-12,2,1459.39,1455.11,VARIANCE
SET000003,MER0001,2025-01-19,2,1508.08,1466.27,VARIANCE
SET000004,MER0001,2025-01-26,3,1489.82,1482.27,VARIANCE
SET000005,MER0001,2025-02-02,4,3824.2,3746.34,VARIANCE
SET000006,MER0001,2025-02-09,1,1888.49,1855.38,VARIANCE
SET000007,MER0001,2025-02-16,1,442.62,433.91,VARIANCE
SET000008,MER0001,2025-02-23,1,977.01,971.37,VARIANCE
SET000009,MER0001,2025-03-02,5,5052.7,4967.98,VARIANCE
SET000010,MER0001,2025-03-09,3,1557.47,1514.08,VARIANCE
SET000011,MER0001,2025-03-16,5,2875.29,2829.93,VARIANCE
SET000012,MER0001,2025-03-23,1,87.24,85.01,VARIANCE
SET000013,MER0001,2025-03-30,6,1876.95,1821.54,VARIANCE
SET000014,MER0001,2025-04-06,0,0.0,0.0,MATCHED
SET000015,MER0001,2025-04-13,3,1770.31,1737.41,VARIANCE
SET000016,MER0001,2025-04-20,1,373.92,367.76,VARIANCE
SET000017,MER0001,2025-04-27,3,7148.88,6934.56,VARIANCE
SET000018,MER0001,2025-05-04,3,7435.3,7242.75,VARIANCE
SET000019,MER0001,2025-05-11,3,2561.07,2553.53,VARIANCE
SET000020,MER0001,2025-05-18,1,253.01,249.55,VARIANCE
SET000021,MER0001,2025-05-25,1,761.58,761.13,MATCHED
SET000022,MER0001,2025-06-01,1,144.21,142.23,VARIANCE
SET000023,MER0001,2025-06-08,4,2396.11,2392.82,VARIANCE
SET000024,MER0001,2025-06-15,2,2865.89,2839.36,VARIANCE
SET000025,MER0001,2025-06-22,4,7083.61,6953.41,VARIANCE
SET000026,MER0001,2025-06-29,2,3596.42,3493.94,VARIANCE
SET000027,MER0002,2025-01-12,2,1860.66,1813.08,VARIANCE
SET000028,MER0002,2025-01-19,3,1492.0,1482.7,VARIANCE
SET000029,MER0002,2025-01-26,1,111.16,110.03,VARIANCE
SET000030,MER0002,2025-02-02,1,434.2,425.05,VARIANCE
SET000031,MER0002,2025-02-09,3,2517.53,2454.34,VARIANCE
SET000032,MER0002,2025-02-16,2,1119.03,1106.94,VARIANCE
SET000033,MER0002,2025-02-23,3,4019.27,4010.81,VARIANCE
SET000034,MER0002,2025-03-02,5,4370.23,4271.68,VARIANCE
SET000035,MER0002,2025-03-09,4,8386.93,8386.16,MATCHED
SET000036,MER0002,2025-03-16,2,2056.5,2027.76,VARIANCE
SET000037,MER0002,2025-03-23,1,695.41,678.89,VARIANCE
SET000038,MER0002,2025-03-30,1,2281.37,2225.41,VARIANCE
SET000039,MER0002,2025-04-06,2,680.27,674.38,VARIANCE
SET000040,MER0002,2025-04-13,2,1031.72,1029.49,VARIANCE
SET000041,MER0002,2025-04-20,2,1552.55,1515.44,VARIANCE
SET000042,MER0002,2025-04-27,2,4063.01,3970.14,VARIANCE
SET000043,MER0002,2025-05-04,2,530.97,517.32,VARIANCE
SET000044,MER0002,2025-05-11,0,0.0,0.0,MATCHED
SET000045,MER0002,2025-05-18,3,2185.12,2134.35,VARIANCE
SET000046,MER0002,2025-05-25,2,941.76,925.3,VARIANCE
SET000047,MER0002,2025-06-01,4,860.42,840.75,VARIANCE
SET000048,MER0002,2025-06-08,4,5058.92,5007.77,VARIANCE
SET000049,MER0002,2025-06-15,1,919.53,898.56,VARIANCE
SET000050,MER0002,2025-06-22,0,0.0,0.0,MATCHED
SET000051,MER0002,2025-06-29,3,1091.9,1072.86,VARIANCE
SET000052,MER0003,2025-01-12,4,11771.8,11478.43,VARIANCE
SET000053,MER0003,2025-01-19,2,1000.13,971.66,VARIANCE
SET000054,MER0003,2025-01-26,5,2158.43,2099.53,VARIANCE
SET000055,MER0003,2025-02-02,4,1463.98,1420.27,VARIANCE
SET000056,MER0003,2025-02-09,4,6914.24,6846.63,VARIANCE
SET000057,MER0003,2025-02-16,5,3179.92,3089.21,VARIANCE
SET000058,MER0003,2025-02-23,2,124.0,122.06,VARIANCE
SET000059,MER0003,2025-03-02,4,4670.45,4654.91,VARIANCE
SET000060,MER0003,2025-03-09,3,1936.31,1913.91,VARIANCE
