transaction_id,customer_id,merchant_id,upi_vpa,amount,timestamp,status,bank_rrn,upi_app
TXN0000001,CUST00026,MER0075,cust00026@okhdfcbank,350.63,2025-03-22 08:29:40,Success,403700826674,Amazon Pay
TXN0000005,CUST00348,MER0036,cust00348@okhdfcbank,191.32,2025-02-22 05:15:11,SUCCESS,065716624554,PhonePe
TXN0000006,CUST00617,MER0069,cust00617@okhdfcbank,4287.57,2025-04-06 18:07:26,Failed,573903105932,BHIM
TXN0000007,CUST00299,MER0017,cust00299@okhdfcbank,286.78,2025-02-02 11:14:34,success,548657337147,BHIM
TXN0000011,CUST01263,MER0051,cust01263@okhdfcbank,516.92,2025-03-30 21:47:23,FAILED,821402199188,Amazon Pay
TXN0000014,CUST01724,MER0098,cust01724@okhdfcbank,713.73,2025-06-06 03:16:04,SUCCESS,500451941740,PhonePe
TXN0000015,CUST01766,MER0085,cust01766@okhdfcbank,856.58,2025-03-27 11:35:15,success,637761830497,GPay
TXN0000016,CUST00686,MER0111,cust00686@okhdfcbank,258.98,2025-06-08 08:23:28,SUCCESS,386865378958,PhonePe
TXN0000017,CUST01687,MER0035,cust01687@okhdfcbank,229.05,2025-02-28 08:07:47,Success,565121016174,Paytm
TXN0000018,CUST00657,MER0052,cust00657@okhdfcbank,267.97,2025-04-04 00:20:49,success,636913769954,Paytm
TXN0000019,CUST00644,MER0046,cust00644@okhdfcbank,121.36,2025-03-19 07:55:51,SUCCESS,437840301317,GPay
TXN0000020,CUST01984,MER0082,cust01984@okhdfcbank,100.44,2025-02-26 14:14:48,success,013268842362,Amazon Pay
TXN0000022,CUST01602,MER0063,cust01602@okhdfcbank,1259.66,2025-03-05 06:44:23,SUCCESS,184202704640,GPay
TXN0000023,CUST00771,MER0072,cust00771@okhdfcbank,1177.38,2025-06-08 13:08:24,SUCCESS,811074122009,Amazon Pay
TXN0000024,CUST01610,MER0101,cust01610@okhdfcbank,45.51,2025-03-12 21:05:44,PENDING,640091714175,GPay
TXN0000025,CUST00234,MER0145,cust00234@okhdfcbank,385.65,2025-02-08 19:08:08,Success,139052709974,BHIM
